,Student Number,Start Time,Submit Time,Status,Q1,Q2,Q2.1,Q2.2,Q2.3,Q3.1,Q3.2,Q3.3,Q3.4,Q3.5,Q3.6,Q3.7,Q3.8,Q3.9,Q3.10,Q3.11,Q3.12,Q3.13,Q3.14,Q3.15,Q4.1,Q4.2,Q4.3,Q4.4,Q4.5,Q4.6,Q4.7,Q4.8,Q4.9,Q4.10,Q5,Q6,Q7.1,Q7.2,Q7.3,Q7.4,Q7.5,Q8,Q9
24,27,2022-09-20 18:19:37.833,2022-09-25 20:38:49.587,Submitted,Yes,"Pre-University (e.g. Junior College, Polytechnic, Secondary School, etc.)",in Chemistry teaching labs,No answer,No answer,Agree,Agree,Neutral,Neutral,Agree,Agree,Strongly Agree,Neutral,Neutral,Agree,Agree,Agree,Neutral,Disagree,Neutral,False but I am not sure,False but I am not sure,True but I am not sure,False but I am not sure,"True, I am confident",I have no idea,"False, I am confident","False, I am confident","False, I am confident",I have no idea,"Potentiometry finds out the potential between two electrodes using a voltmeter to determine the goal, concentrations of the analytes ","Varying the potential to find out what type of reactions occur, whether with stirring or no stirring. ",Agree,Agree,Strongly Disagree,Disagree,Neutral,"It was interesting to see the reactions, but i'm not 100% sure what is the exact reactions happening at the electrodes because there are many possibilities and many reactions occuring, unable to stick to one definite equation. 

cool experiment though to do, which makes us learn more rather than theory only. I would remember the concepts better doing this experiment ",Thank you for teaching us! 
25,28,2022-09-20 12:49:11.023,2022-09-20 12:53:52.770,Submitted,Yes,"Pre-University (e.g. Junior College, Polytechnic, Secondary School, etc.)",No answer,No answer,No answer,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Disagree,"False, I am confident","False, I am confident","True, I am confident","False, I am confident","True, I am confident","False, I am confident","False, I am confident","False, I am confident","False, I am confident","True, I am confident",A technique used to find the concentration of analyte in the solution via measuring of potential between two electrodes using a voltmeter.,Voltammetry involves observing how current changes affect the reaction as potential is varied.,Agree,Neutral,Neutral,Neutral,Neutral,"It was a bit time-consuming and tedious to carry out the experiment, notably the calibration curve part as a lot of trial and error was needed.",Nil
26,29,2022-09-21 10:05:00.077,2022-09-21 10:16:21.217,Submitted,Yes,"Pre-University (e.g. Junior College, Polytechnic, Secondary School, etc.)",in Chemistry teaching labs,No answer,No answer,Neutral,Neutral,Disagree,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,True but I am not sure,"True, I am confident","False, I am confident","False, I am confident","True, I am confident",True but I am not sure,"False, I am confident","False, I am confident","False, I am confident","True, I am confident",A technique that measures concentration of analyte by measuring cell potential,A technique used to determine analyte concentration and identify chemical characteristics of the reactions (through potential and current measured),Agree,Agree,Neutral,Strongly Agree,Neutral,Image J is inaccurate as it is highly dependent on the surrounding environment light. The limitation of setup (one jar) etc impose severe inaccuracy because the experiment done carried out every 25 minutes will capture different reading. It will be better to provide more apparatus and allow side by side comparison at the same start time.,I am so scared for finals for electrochemistry ><
27,30,2022-09-20 16:57:22.220,2022-09-20 17:02:28.710,Submitted,Yes,"Pre-University (e.g. Junior College, Polytechnic, Secondary School, etc.)",No answer,No answer,No answer,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Neutral,Agree,"True, I am confident",False but I am not sure,"True, I am confident","False, I am confident","False, I am confident",I have no idea,I have no idea,"False, I am confident",False but I am not sure,True but I am not sure,find the concentration of a solute in solution by measuring current,study of the current response of a chemical under an applied potential difference,Agree,Agree,Strongly Disagree,Strongly Disagree,Neutral,"instructions given were not clear enough, students were quite lost and spent a lot of time on the project",NIL
28,31,2022-09-23 01:52:16.280,2022-09-23 02:06:00.980,Submitted,Yes,"Pre-University (e.g. Junior College, Polytechnic, Secondary School, etc.)",No answer,in other University modules,No answer,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Strongly Agree,Neutral,Agree,"False, I am confident","False, I am confident",True but I am not sure,"False, I am confident","False, I am confident","True, I am confident","False, I am confident","False, I am confident","False, I am confident","True, I am confident",Potentiometry is a technique to measure the spontaneity of redox reactions between 2 half cells through measuring the potential difference.,Voltammetry is a technique where potential is applied to a cell to measure the current flowing in the circuit,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,"Tutorial: good questions used to expose us to the different types of electrochemistry, good level of difficulty and tutorial made it easier for us to take the initiative to learn!

project: was rly tough and confusing due to the different results obtained by different people and was a little hard to justify and reason but a good way to also take the initiative to understand better",-
29,32,2022-09-23 12:13:01.047,2022-09-25 14:18:25.317,Submitted,Yes,"Pre-University (e.g. Junior College, Polytechnic, Secondary School, etc.)",in Chemistry teaching labs,in other University modules,No answer,Agree,Neutral,Disagree,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Agree,Neutral,Disagree,Neutral,Neutral,"False, I am confident",False but I am not sure,False but I am not sure,I have no idea,False but I am not sure,"False, I am confident",False but I am not sure,"False, I am confident","False, I am confident",True but I am not sure,Meausring potential without passing current to determine analyte concentration,Measuring the current while controlling the potential to determine analyte concentration,Agree,Neutral,Neutral,Agree,Neutral,The hands-on tutorial was interesting and the project allowed me to consolidate some learnings about electrochemistry but was confusing at some points.,
30,33,2022-09-21 10:38:47.320,2022-09-21 10:47:28.650,Submitted,Yes,"Pre-University (e.g. Junior College, Polytechnic, Secondary School, etc.)",in Chemistry teaching labs,No answer,No answer,Agree,Neutral,Disagree,Neutral,Neutral,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Neutral,Neutral,"False, I am confident",False but I am not sure,"True, I am confident",False but I am not sure,False but I am not sure,True but I am not sure,True but I am not sure,"False, I am confident","False, I am confident","True, I am confident",Potentiometry can be used to determine the concentration of an analyte of interest when no battery is used.,Voltammetry can be used to determine the concentration of an analyte with the use of a 3 electrode system and applied voltage.,Agree,Agree,Neutral,Neutral,Agree,I think that the hands-on experience made it easier to visualise and undertstand the reactions occuring at the negative and positive electrodes.,nil
31,34,2022-09-21 12:27:59.833,2022-09-26 01:18:18.800,Submitted,Yes,"Pre-University (e.g. Junior College, Polytechnic, Secondary School, etc.)",in Chemistry teaching labs,No answer,No answer,Agree,Agree,Disagree,Disagree,Strongly Agree,Disagree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,"False, I am confident","False, I am confident","True, I am confident",True but I am not sure,"False, I am confident",True but I am not sure,"False, I am confident","False, I am confident","False, I am confident","False, I am confident",Potentiometry is where the concentration of the analyte is to be found.,Voltammetry is mainly about potential difference and the redox reactions which occur at electrodes.,Agree,Agree,Disagree,Agree,Agree,"I enjoyed doing the project with my friends as we deduced the reactions together. However, the project may be a bit too low a weightage given the amount of work we had to do. The hands-on tutorial was enjoyable as well and I wish that we had more time for the experiments.",I hope that we can have more practice questions.
32,35,2022-09-26 13:20:27.410,2022-09-26 13:35:43.517,Submitted,Yes,"Pre-University (e.g. Junior College, Polytechnic, Secondary School, etc.)",in Chemistry teaching labs,in other University modules,No answer,Agree,Neutral,Neutral,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Disagree,"True, I am confident","False, I am confident",False but I am not sure,"False, I am confident",False but I am not sure,False but I am not sure,"False, I am confident","False, I am confident","False, I am confident",False but I am not sure,The measure of potential without reactions occuring,Changing voltage to find change in current. ,Agree,Agree,Agree,Agree,Agree,Was a bit tough as often was not sure what was happening. But was quite fulfilling and fun at the end. ,Nil
33,36,2022-09-20 15:47:16.853,2022-09-27 11:26:28.980,Submitted,Yes,"Pre-University (e.g. Junior College, Polytechnic, Secondary School, etc.)",in Chemistry teaching labs,No answer,No answer,Agree,Agree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Neutral,"False, I am confident",False but I am not sure,True but I am not sure,True but I am not sure,False but I am not sure,False but I am not sure,False but I am not sure,"False, I am confident","False, I am confident","False, I am confident","Method to measure analyte concentration, potential measured when current is zero",Measuring current while controlling potential to determine analyte concentrations and chemical reaction properties,Agree,Agree,Disagree,Disagree,Agree,"Would have preferred access to proper lab materials, e.g. UV-vis spectrometer, beakers, etc",
34,37,2022-09-20 22:35:40.637,2022-09-20 22:42:04.347,Submitted,Yes,"Pre-University (e.g. Junior College, Polytechnic, Secondary School, etc.)",in Chemistry teaching labs,No answer,No answer,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Neutral,Agree,"False, I am confident",True but I am not sure,False but I am not sure,True but I am not sure,"True, I am confident","False, I am confident","False, I am confident","False, I am confident","False, I am confident",False but I am not sure,measuring potential while keeping current at zero ,measuring current while controlling potential values ,Agree,Neutral,Neutral,Disagree,Neutral,"it's indeed interesting to create an electrochem set up using everyday items and observe the reactions occur, but i feel that i would enjoy it more if we were given access to more resources to carry out the experiments ",-
35,38,2022-09-20 12:40:00.717,2022-09-20 12:49:53.770,Submitted,Yes,"Pre-University (e.g. Junior College, Polytechnic, Secondary School, etc.)",in Chemistry teaching labs,in other University modules,No answer,Agree,Neutral,Neutral,Disagree,Neutral,Disagree,Agree,Disagree,Neutral,Agree,Agree,Agree,Strongly Agree,Agree,Agree,"False, I am confident","False, I am confident",True but I am not sure,False but I am not sure,"True, I am confident","False, I am confident","False, I am confident","False, I am confident","False, I am confident",True but I am not sure,Measure Potential. No current is passing through. ,Apply voltage and measure current as a response,Strongly Agree,Agree,Agree,Strongly Disagree,Strongly Agree,The project took too much time!,NIL
36,39,2022-09-20 13:08:01.613,2022-09-20 13:13:18.310,Submitted,Yes,"Pre-University (e.g. Junior College, Polytechnic, Secondary School, etc.)",No answer,No answer,No answer,Neutral,Neutral,Disagree,Agree,Disagree,Neutral,Agree,Agree,Neutral,Neutral,Agree,Disagree,Strongly Agree,Neutral,Neutral,"False, I am confident",False but I am not sure,True but I am not sure,False but I am not sure,"True, I am confident","True, I am confident","False, I am confident","False, I am confident","False, I am confident",True but I am not sure,Measuring electric potential across 2 electrodes of a cell,Chemical reactions occuring at the electrodes due to an applied voltage across 2 electrodes of a cell,Neutral,Agree,Disagree,Strongly Disagree,Neutral,The materials given were not the best in terms of carrying out the task at hand,-
37,40,2022-09-25 15:55:05.367,2022-09-25 16:15:27.443,Submitted,Yes,"Pre-University (e.g. Junior College, Polytechnic, Secondary School, etc.)",No answer,No answer,No answer,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Neutral,"False, I am confident","False, I am confident","True, I am confident",False but I am not sure,"False, I am confident","True, I am confident","True, I am confident","False, I am confident","False, I am confident",False but I am not sure,It is the measure of potential of the cell under static condition where no (or negligible) current or voltage are applied to the set-up and it can be used as a quantitative measurement for the determination of the concentration of analyte. ,Voltammetry study allows the determination of the identity (qualitative) and concentration (quantitative) of an unknown compound by comparing and referencing the current (e.g. peak current) across an applied voltage difference. ,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"The project in this module helps me in understanding the content of electrochemistry much better as I am able to visualise what is the outcome the reaction under certain conditions. With the flexibility to explore different experimental conditions (e.g. series, parallel, content of analyte solution), it increases my curiousity for electrochemistry which has helped me in understanding the concept that is beyond the scope of this module. This has increase my interest in electrochemistry topic which I previously do not appreciate much. ",Nil. 
38,41,2022-09-23 20:39:16.413,2022-09-23 20:50:13.580,Submitted,Yes,"Pre-University (e.g. Junior College, Polytechnic, Secondary School, etc.)",No answer,No answer,No answer,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Strongly Agree,Agree,Agree,"False, I am confident","False, I am confident",True but I am not sure,"False, I am confident","False, I am confident",False but I am not sure,"False, I am confident",False but I am not sure,"False, I am confident",False but I am not sure,Potentiometry is use to determine the concentration of an analyte by first finding the potential between two electrodes under static conditions. ,Voltammetry is used to determine the analyte concentrations and chemical reaction properties via the measurement of current vs applied potential. ,Agree,Agree,Disagree,Disagree,Strongly Agree,It was fascinating to see what we have learnt in theory coming to live during the hands on tutorial and project. Perhaps  a more tangible method could be used to measure the change in the concentration as using Image J was subjective as the results vary with the lighting in the photo. ,NIL
39,42,2022-09-20 12:44:16.563,2022-09-20 13:34:20.383,Submitted,No,"Pre-University (e.g. Junior College, Polytechnic, Secondary School, etc.)",in Chemistry teaching labs,No answer,No answer,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Neutral,Agree,Agree,Strongly Agree,Neutral,Neutral,Agree,"False, I am confident","False, I am confident","True, I am confident","False, I am confident","False, I am confident","True, I am confident","True, I am confident","False, I am confident","False, I am confident",False but I am not sure,measure potential of reaction with no applied voltage,"change voltage, measure current",Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,"The project was extremely time-consuming and there were many errors inherent in the experimental design, for example the ImageJ software and the different sizes of the electrodes. The project did not help me to consolidate the lecture content at all.","I would have preferred multiple short experiments such as the fluoride ISE in CM2192, instead of one big project. I would also have liked more teaching time, since Dr Linda explains the concepts well judging by the pre-recorded lectures."
40,43,2022-09-27 01:17:28.533,2022-09-27 01:23:44.423,Submitted,Yes,"Pre-University (e.g. Junior College, Polytechnic, Secondary School, etc.)",in Chemistry teaching labs,No answer,No answer,Agree,Neutral,Neutral,Neutral,Agree,Agree,Strongly Agree,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Neutral,"False, I am confident","False, I am confident","False, I am confident",True but I am not sure,"True, I am confident","False, I am confident","False, I am confident","False, I am confident","False, I am confident",I have no idea,"Measure potential when current is 0, no electrons flowing.",Measure current after controlling potential.,Agree,Agree,Disagree,Disagree,Strongly Agree,I thought that the project was good for helping me to visualize the concepts that i have learnt into reality rather than just on the textbooks. I enjoyed it as it got me thinking more than i would if it's just the usual classroom style method.,NIL
41,44,2022-09-25 23:24:54.020,2022-09-25 23:44:43.057,Submitted,Yes,"Pre-University (e.g. Junior College, Polytechnic, Secondary School, etc.)",No answer,in other University modules,No answer,Agree,Disagree,Neutral,Agree,Neutral,Agree,Strongly Agree,Neutral,Agree,Agree,Neutral,Neutral,Agree,Neutral,Agree,"False, I am confident","False, I am confident",True but I am not sure,I have no idea,"False, I am confident",True but I am not sure,"False, I am confident","False, I am confident","False, I am confident","True, I am confident",It is a static technique where the potential of the system is measured and the concentration of the species in solution is constant and no current is passed through + can be used to determine the concentration of species.,Analyte concentration can be determined by the measurement of current vs applied potential in voltammetry + there are different voltammetry methods,Neutral,Neutral,Agree,Neutral,Neutral,"I wish I had a better understanding of the project we were doing, like a brief introduction/about the why and what would be great.",Dr Linda is a great teacher. Thank you.
42,45,2022-09-20 12:39:45.510,2022-09-20 13:01:04.023,Submitted,Yes,"Pre-University (e.g. Junior College, Polytechnic, Secondary School, etc.)",No answer,No answer,No answer,Agree,Strongly Agree,Neutral,Agree,Agree,Agree,Strongly Agree,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Agree,"False, I am confident","False, I am confident",False but I am not sure,"True, I am confident",True but I am not sure,False but I am not sure,False but I am not sure,"False, I am confident","False, I am confident","False, I am confident","It is a static technique where the current is zero and [species] remains constant, meaning no reaction takes place, and potential is measured.","During voltammetry, the potential is varied and there is negligible consumption of analyte, where analyte concentrations and chemical reaction properties can be determined via the measurement of current versus applied potential.",Neutral,Agree,Agree,Strongly Agree,Neutral,"Both the tutorial and project allowed me to learn better as I can have hands-on experience doing the experiments that were taught in the module. I am able to see for myself the different types of reactions and electrochemical techniques by changing my set-up accordingly. However, the project may be more effective if it was done in the lab for better results and a more controlled environment.",nil
43,48,2022-09-24 10:35:53.803,2022-09-24 10:40:45.903,Submitted,Yes,"Pre-University (e.g. Junior College, Polytechnic, Secondary School, etc.)",No answer,No answer,No answer,Neutral,Disagree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Agree,Strongly Agree,Neutral,Disagree,Disagree,Disagree,Strongly Agree,Neutral,Strongly Agree,"True, I am confident","False, I am confident",True but I am not sure,False but I am not sure,"False, I am confident","False, I am confident","False, I am confident","False, I am confident","False, I am confident","True, I am confident",It is the study of the current when a potential difference is applied.,It is the study of the current when a potential difference is applied.,Neutral,Neutral,Disagree,Disagree,Agree,"I felt that the hands-on tutorial had alot of waiting time involved, which could be put to better use.",-
44,49,2022-09-20 18:15:17.090,2022-09-27 13:26:02.867,Submitted,Yes,"Pre-University (e.g. Junior College, Polytechnic, Secondary School, etc.)",No answer,No answer,No answer,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,"False, I am confident","False, I am confident","True, I am confident","False, I am confident","False, I am confident",False but I am not sure,True but I am not sure,"False, I am confident","False, I am confident","False, I am confident", Voltammetry is the measurement of current as a function of time when an applied voltage of a specific value is applied across a cell, Voltammetry is the measurement of current as a function of time when an applied voltage of a specific value is applied across a cell,Neutral,Agree,Agree,Agree,Agree,"I I enjoyed the module, getting to learn more about electrochemistry ",nil   
45,50,2022-09-24 13:52:43.280,2022-09-24 13:57:32.967,Submitted,Yes,"Pre-University (e.g. Junior College, Polytechnic, Secondary School, etc.)",No answer,No answer,No answer,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,"True, I am confident","False, I am confident",True but I am not sure,"True, I am confident","False, I am confident","True, I am confident",I have no idea,"False, I am confident","False, I am confident","True, I am confident",potentiometry is the ,voltammetry is the measurement of current across an electrolytic cell with constant voltage.,Neutral,Disagree,Disagree,Agree,Agree,-,-
46,51,2022-09-24 03:15:06.627,2022-09-24 03:27:20.180,Submitted,Yes,"Pre-University (e.g. Junior College, Polytechnic, Secondary School, etc.)",No answer,No answer,No answer,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Disagree,"False, I am confident","False, I am confident","False, I am confident","False, I am confident",False but I am not sure,False but I am not sure,"False, I am confident","False, I am confident","False, I am confident","True, I am confident",Potentiometry is the measurement of the potential difference between two electrodes. ,Voltammetry studies how current changes in an electrolytic system where voltage is controlled. ,Strongly Agree,Strongly Agree,Agree,Disagree,Strongly Agree,I managed to clear some of my misconceptions during the project after discussions with my peers. The hands-on tutorial greatly increased my interest in the topic and also helped to reinforce the concepts I learnt. ,Do you have any cool videos on the applications of electrochemistry? xd
47,52,2022-09-26 09:49:19.573,2022-09-26 22:56:04.357,Submitted,Yes,"Pre-University (e.g. Junior College, Polytechnic, Secondary School, etc.)",No answer,No answer,No answer,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,"False, I am confident","False, I am confident",False but I am not sure,"True, I am confident",True but I am not sure,False but I am not sure,True but I am not sure,"True, I am confident","True, I am confident",I have no idea,"measuring potential difference between 2 half cells, with a voltmeter. ","applying voltage to a electrochemical cell, the current is measured against time.",Agree,Agree,Neutral,Agree,Strongly Agree,I loved the handson tutorial and how the project although simple taught us more deeply about certain in electrochemistry. The use of the hand-on tutorial allowed me to vidually see what was being taught in class which made it easier for understanding. ,-
48,53,2022-09-22 18:18:24.363,2022-09-22 18:29:57.037,Submitted,Yes,"Pre-University (e.g. Junior College, Polytechnic, Secondary School, etc.)",No answer,No answer,No answer,Neutral,Neutral,Disagree,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,"True, I am confident","False, I am confident","True, I am confident",True but I am not sure,False but I am not sure,"False, I am confident","False, I am confident","False, I am confident",False but I am not sure,True but I am not sure,focused on measuring the potential across the electrodes,measuring the current as potential is varied,Disagree,Disagree,Disagree,Disagree,Disagree,The project was confusing as we did not really know what we were supposed to do and quite subjective because the imageJ software was not a good representation for the concentration of the solution. it was also hard to ensure the same experimental conditions throughout so different groups would get different observations. ,-
49,54,2022-09-24 23:09:28.103,2022-09-24 23:30:12.093,Submitted,No,"Pre-University (e.g. Junior College, Polytechnic, Secondary School, etc.)",No answer,in other University modules,No answer,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Disagree,Neutral,Neutral,Disagree,Neutral,Agree,"False, I am confident",False but I am not sure,False but I am not sure,False but I am not sure,False but I am not sure,False but I am not sure,False but I am not sure,"False, I am confident",False but I am not sure,False but I am not sure,"In potentiometry, the potential of the electrochemical cell is measured when the current is zero to determine the concentration of analyte in the solution","In voltammetry, the change in current is measured when the applied voltage is varied ",Agree,Agree,Agree,Neutral,Agree,It was interesting,-
50,55,2022-09-20 20:33:58.020,2022-09-20 20:49:28.737,Submitted,Yes,"Pre-University (e.g. Junior College, Polytechnic, Secondary School, etc.)",in Chemistry teaching labs,No answer,No answer,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Strongly Agree,Agree,Disagree,"False, I am confident",False but I am not sure,False but I am not sure,"False, I am confident",False but I am not sure,"True, I am confident","False, I am confident","False, I am confident","False, I am confident",True but I am not sure,An electrochemical technique that can be used to measure potential when current is 0. No reaction is occurring during potentiometry.,An electrochemical technique that can be used to measure the concentration of a solution. Either the potential can be measured while controlling the current or the current can be measured while controlling the potential. ,Strongly Agree,Strongly Agree,Agree,Agree,Neutral,"It was useful for us to understand coulometry. It is a fun alternative to midterm tests which also allows us to develop critical thinking skills and research skills. I was able to relate some of the concepts taught in class to industrial processes that rely on coloumetry. However, we spent a lot of time on the electrochemical project which may not be ideal for some of us who have busy schedules. I do think that the video may not be the best way to showcase our experimental set up as 3 mins is too little time. I believe that a presentation with QNA segments might be more useful. Overall it was a useful and fun project. ",I learnt a lot about electrochemistry throughout these past few weeks and I believe that with the knowledge I gained I will be able to perform decently in this module. I believe the knowledge and skills will be useful for me in the future.
51,56,2022-09-22 16:00:23.020,2022-09-22 16:03:12.353,Submitted,Yes,"Pre-University (e.g. Junior College, Polytechnic, Secondary School, etc.)",No answer,No answer,No answer,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,"False, I am confident","False, I am confident",True but I am not sure,False but I am not sure,"True, I am confident","False, I am confident",False but I am not sure,True but I am not sure,False but I am not sure,False but I am not sure,the measurement of electrical potential as a technique in chemical analysis.,the study of current as a function of applied potential,Agree,Agree,Agree,Agree,Agree,learn a lot ,more project will help me in the learning progress instead of exam
52,57,2022-09-25 13:39:32.800,2022-09-25 14:50:57.323,Submitted,No,No answer,No answer,in other University modules,No answer,Neutral,Disagree,Strongly Disagree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Neutral,"True, I am confident","False, I am confident","False, I am confident","False, I am confident","False, I am confident",True but I am not sure,"False, I am confident","True, I am confident",False but I am not sure,"False, I am confident",measuring the potential of an electrochemical cell to determine analyte concentration ,applying potential and measure current to determine analyte concentration,Strongly Agree,Agree,Agree,Agree,Strongly Agree,The tutorial problems were most helpful in improving my understanding of the material.,none
53,58,2022-09-27 12:45:22.823,2022-09-27 13:00:53.150,Submitted,Yes,"Pre-University (e.g. Junior College, Polytechnic, Secondary School, etc.)",No answer,No answer,No answer,Neutral,Disagree,Strongly Disagree,Agree,Neutral,Agree,Agree,Neutral,Neutral,Disagree,Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,True but I am not sure,"True, I am confident","False, I am confident",False but I am not sure,"False, I am confident",False but I am not sure,False but I am not sure,"True, I am confident",False but I am not sure,True but I am not sure,A method measuring voltage with no current flow of a cell to determine analyte concentration,A method measuring current with variable potential in order to determine analyte concentration,Agree,Agree,Neutral,Neutral,Agree,"Overall, I feel that it was pretty comprehensive. However, since there are some materials required to do certain procedures that were not included in the kit, it was a bit difficult to procure. ",None! Thank you for teaching! 
54,60,2022-09-22 18:40:44.403,2022-09-22 18:55:56.883,Submitted,Yes,No answer,No answer,in other University modules,No answer,Neutral,Neutral,Disagree,Agree,Neutral,Agree,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Disagree,Agree,True but I am not sure,True but I am not sure,"False, I am confident",False but I am not sure,"False, I am confident",False but I am not sure,False but I am not sure,False but I am not sure,"False, I am confident","False, I am confident",Potentiometry is measuring the potential between two electrodes when controlling the electric current between the electrodes.,Voltammetry is measuring the current between two electrodes when controlling the applied potential between the electrodes.,Agree,Agree,Agree,Agree,Agree,They are interesting and help me understand electrochemistry when doing myself.,"Actually, electrochemistry makes me confused because there are different methods and situations and I cannot make sure which equation I should use at the time of seeing the question."
55,61,2022-09-27 13:07:14.877,2022-09-27 13:21:41.767,Submitted,Yes,"Pre-University (e.g. Junior College, Polytechnic, Secondary School, etc.)",No answer,No answer,No answer,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Disagree,"False, I am confident","False, I am confident",True but I am not sure,"True, I am confident","False, I am confident","True, I am confident","False, I am confident","False, I am confident","False, I am confident","True, I am confident","Potentiometry is composed by a know and unknown electrode with a voltmeter in between, no current involve, and we can know the concentration of unknown solution by Nernst equation.",Voltametry  is used to see current respond when applying different potential.,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Good, instead of study the concept just by book, we actually have a chance to do it ourself.","Everything is great, Teaching is good, Linda is excellent."
